"11419: Månedslønn, etter statistikkmål, yrke, næring (SN2007), kjønn, avtalt/vanlig arbeidstid per uke, statistikkvariabel og år"

"statistikkmål";"yrke";"næring (SN2007)";"kjønn";"avtalt/vanlig arbeidstid per uke";"Månedslønn (kr) 2015";"Månedslønn (kr) 2016";"Månedslønn (kr) 2017";"Månedslønn (kr) 2018";"Månedslønn (kr) 2019";"Månedslønn (kr) 2020";"Månedslønn (kr) 2021";"Månedslønn (kr) 2022"
"Gjennomsnitt";"Alle yrker";"03.2 Akvakultur";"Menn";"Heltidsansatte";45210;46660;49060;50380;51570;53410;55750;59030
"Gjennomsnitt";"Alle yrker";"03.2 Akvakultur";"Kvinner";"Heltidsansatte";44070;43820;45100;46000;46370;48760;51290;54250
"Gjennomsnitt";"Alle yrker";"05_07_08_09.9 Bergverksdrift";"Menn";"Heltidsansatte";42260;43190;44210;45770;47380;48560;50240;53460
"Gjennomsnitt";"Alle yrker";"05_07_08_09.9 Bergverksdrift";"Kvinner";"Heltidsansatte";41910;43370;43760;45470;47580;49020;51300;54960
"Gjennomsnitt";"Alle yrker";"06+09.1 Utvinning av råolje og naturgass inkl. tjenesteyting";"Menn";"Heltidsansatte";71300;72460;72610;75430;77010;76830;78790;84430
"Gjennomsnitt";"Alle yrker";"06+09.1 Utvinning av råolje og naturgass inkl. tjenesteyting";"Kvinner";"Heltidsansatte";66830;68890;69990;74310;76460;75840;78490;85600
"Gjennomsnitt";"Alle yrker";"10-12 Nærings-, drikkevare- og tobakksindustri";"Menn";"Heltidsansatte";42520;42360;43310;44480;46100;46630;48690;50660
"Gjennomsnitt";"Alle yrker";"10-12 Nærings-, drikkevare- og tobakksindustri";"Kvinner";"Heltidsansatte";38420;37960;38930;40090;41700;42450;44530;46730
"Gjennomsnitt";"Alle yrker";"13-15 Tekstil-, bekledning- og lærvareindustri";"Menn";"Heltidsansatte";40470;44150;42110;44450;45630;47630;50880;52160
"Gjennomsnitt";"Alle yrker";"13-15 Tekstil-, bekledning- og lærvareindustri";"Kvinner";"Heltidsansatte";34170;35100;35630;36590;38140;39720;41310;43380
