sysselsette;næring;Industrirobotar_2018;Industrirobotar_2020;Industrirobotar_2022;Tenesterobotar_2018;Tenesterobotar_2020;Tenesterobotar_2022
Alle sysselsette;Total+K Alle næringer, inkludert finansnæringene;0;0;0;0;0;0
Alle sysselsette;Total-K Alle næringer, uten finansnæringene;3;4;3;1;2;2
Alle sysselsette;10-39 Industri, kraftforsyning, vatn, avløp og renovasjon;17;19;16;3;4;3
Alle sysselsette;41-43 Byggje- og anleggsverksemd;0;1;1;1;2;1
Alle sysselsette;45 Handel med og reparasjon av motorvogner;1;1;1;1;1;2
Alle sysselsette;46 Agentur- og engroshandel med unntak av motorvogner;2;4;3;1;2;3
Alle sysselsette;47 Detaljhandel med unntak av motorvogner;0;0;0;0;0;1
Alle sysselsette;49-53 Transport og lagring;1;0;0;2;1;1
Alle sysselsette;55-56 Overnattings- og serveringsverksemd;0;0;0;1;1;1
Alle sysselsette;58-63 Informasjon og kommunikasjon;2;1;0;2;4;1
Alle sysselsette;64-66 Finansierings- og forsikringsverksemd;0;0;0;0;0;0
Alle sysselsette;68-74+77-82+95.1 Anna tenesteyting, unntatt veterinærtenester;2;2;0;1;2;0
Alle sysselsette;68-75+77-82+95.1 Anna tenesteyting, inklusive veterinærtenester;0;0;1;0;0;1
10-19 sysselsette;Total+K Alle næringer, inkludert finansnæringene;0;0;0;0;0;0
10-19 sysselsette;Total-K Alle næringer, uten finansnæringene;2;2;2;1;1;1
10-19 sysselsette;10-39 Industri, kraftforsyning, vatn, avløp og renovasjon;10;12;7;0;3;1
10-19 sysselsette;41-43 Byggje- og anleggsverksemd;0;2;1;0;2;1
10-19 sysselsette;45 Handel med og reparasjon av motorvogner;2;0;2;2;0;2
10-19 sysselsette;46 Agentur- og engroshandel med unntak av motorvogner;3;3;4;0;0;4
10-19 sysselsette;47 Detaljhandel med unntak av motorvogner;0;0;1;0;0;1
10-19 sysselsette;49-53 Transport og lagring;1;0;0;1;0;0
10-19 sysselsette;55-56 Overnattings- og serveringsverksemd;1;0;0;1;1;1
10-19 sysselsette;58-63 Informasjon og kommunikasjon;4;1;0;2;3;1
10-19 sysselsette;64-66 Finansierings- og forsikringsverksemd;0;0;0;0;0;0
10-19 sysselsette;68-74+77-82+95.1 Anna tenesteyting, unntatt veterinærtenester;1;1;0;0;2;0
