dag;total;nye
0;126521;130
1;126689;168
2;126817;128
3;127066;249
4;127254;188
5;127466;212
6;127676;210
7;127874;198
8;127986;112
9;128046;60
10;128277;231
11;128499;222
12;128679;180
13;128898;219
14;129095;197
15;129225;130
16;129333;108
17;129545;212
18;129766;221
19;129944;178
20;130270;326
21;130342;72
22;130491;149
23;130588;97
24;130744;156
25;131037;293
26;131316;279
27;131509;193
28;131749;240
29;131861;112
30;131949;88
31;132136;187
32;132363;227
33;132574;211
34;132673;99
35;132966;293
36;133100;134
37;133197;97
38;133367;170
39;133549;182
40;133720;171
41;133876;156
42;134092;216
43;134230;138
44;134339;109
45;134534;195
46;134780;246
47;134969;189
48;135235;266
49;135463;228
50;135631;168
51;135767;136
52;136097;330
53;136370;273
54;136541;171
55;137127;586
56;137471;344
57;137627;156
58;137853;226
59;138265;412
60;138740;475
61;139218;478
62;139778;560
63;140204;426
64;140466;262
65;140836;370
66;141333;497
67;141999;666
68;142321;322
69;142895;574
70;143767;872
71;144035;268
72;144484;449
73;145014;530
74;145761;747
75;146373;612
76;147058;685
77;147778;720
78;148055;277
79;148608;553
80;149732;1124
81;150825;1093
82;152119;1294
83;153534;1415
84;155086;1552
85;156133;1047
86;157040;907
87;158389;1349
88;160174;1785
89;161814;1640
90;163364;1550
91;165051;1687
92;166200;1149
93;167265;1065
94;168469;1204
95;170173;1704
96;171719;1546
97;173348;1629
98;174649;1301
99;175489;840
100;176142;653
101;177262;1120
102;178481;1219
103;179450;969
104;180432;982
105;181195;763
106;181765;570
107;182239;474
108;182918;679
109;183402;484
110;184609;1207
111;185330;721
112;186035;705
113;186554;519
114;186935;381
115;187593;658
116;188295;702
117;188850;555
118;189431;581
119;189915;484
120;190224;309
121;190533;309
122;191017;484
123;191599;582
124;192079;480
125;192587;508
126;193054;467
127;193275;221
128;193562;287
129;193734;172
130;194630;896
131;195029;399
132;195385;356
133;195808;423
134;196142;334
135;196351;209
136;196896;545
137;197504;608
138;198161;657
139;198909;748
140;199550;641
141;200093;543
142;200517;424
143;201410;893
144;202554;1144
145;203734;1180
146;204730;996
147;205855;1125
148;206653;798
149;207280;627
150;208615;1335
151;210241;1626
152;211755;1514
153;213289;1534
154;214795;1506
155;215857;1062
156;216855;998
157;218387;1532
158;220513;2126
159;222296;1783
160;224302;2006
161;226064;1762
162;227370;1306
163;228526;1156
164;229309;783
165;232839;3530
166;235314;2475
167;237739;2425
168;240103;2364
169;241441;1338
170;242911;1470
171;245302;2391
172;246822;1520
173;251397;4575
174;254367;2970
175;257309;2942
176;259200;1891
177;260921;1721
178;263798;2877
179;267843;4045
180;271623;3780
181;275763;4140
182;279954;4191
183;282918;2964
184;284448;1530
185;287123;2675
186;294754;7631
187;300013;5259
188;305368;5355
189;310781;5413
190;314258;3477
191;317880;3622
192;317880;0
193;328747;10867
194;334488;5741
195;339008;4520
196;343697;4689
197;347402;3705
198;350424;3022
199;354465;4041
200;359264;4799
201;363554;4290
202;367866;4312
203;370134;2268
204;372123;1989
205;374337;2214
206;378087;3750
207;382789;4702
208;387196;4407
209;391214;4018
210;394259;3045
211;396415;2156
212;399318;2903
213;404551;5233
214;412472;7921
215;420857;8385
216;428736;7879
217;434896;6160
218;440184;5288
219;444368;4184
220;450908;6540
221;460530;9622
222;472355;11825
223;483952;11597
224;496312;12360
225;504789;8477
226;512393;7604
227;523424;11031
228;538791;15367
229;554778;15987
230;571655;16877
231;596613;24958
232;609950;13337
233;622596;12646
234;641138;18542
235;665567;24429
236;690244;24677
237;714532;24288
238;736051;21519
239;751021;14970
240;765061;14040
241;781049;15988
242;804286;23237
243;827585;23299
244;849389;21804
245;870245;20856
246;883388;13143
247;893560;10172
248;911212;17652
249;937321;26109
250;962407;25086
251;986855;24448
252;1009926;23071
253;1024379;14453
254;1035753;11374
255;1049811;14058
256;1068686;18875
257;1086614;17928
258;1103956;17342
259;1119204;15248
260;1128763;9559
261;1136409;7646
262;1151288;14879
263;1169037;17749
264;1186422;17385
265;1202017;15595
266;1217306;15289
267;1225866;8560
268;1231766;5900
269;1242160;10394
270;1257079;14919
271;1279169;22090
272;1289884;10715
273;1299549;9665
274;1305006;5457
275;1308342;3336
276;1315692;7350
277;1325909;10217
278;1333793;7884
279;1341163;7370
280;1346777;5614
281;1349971;3194
282;1351883;1912
283;1357280;5397
284;1363406;6126
285;1368165;4759
286;1372340;4175
287;1376239;3899
288;1378238;1999
289;1379467;1229
290;1383227;3760
291;1387034;3807
292;1390035;3001
293;1393061;3026
294;1395556;2495
295;1396911;1355
296;1397638;727
297;1399714;2076
298;1402219;2505
299;1404207;1988
300;1405960;1753
301;1407422;1462
302;1408257;835
303;1408708;451
304;1410051;1343
305;1411550;1499
306;1412969;1419
307;1413957;988
308;1414993;1036
309;1415609;616
310;1415928;319
311;1416712;784
312;1417631;919
313;1418431;800
314;1418814;383
315;1419096;282
316;1419507;411
317;1419729;222
318;1420033;304
319;1420750;717
320;1421691;941
321;1422583;892
322;1423220;637
323;1423509;289
324;1423629;120
325;1424180;551
326;1424672;492
327;1425079;407
328;1425464;385
329;1425809;345
330;1426013;204
331;1426128;115
332;1426491;363
333;1426798;307
334;1427148;350
335;1427485;337
336;1427790;305
337;1427956;166
338;1428010;54
339;1428335;325
340;1428699;364
341;1429064;365
342;1429353;289
343;1429630;277
344;1429717;87
345;1429771;54
346;1430124;353
347;1430173;49
348;1430531;358
349;1430844;313
350;1431126;282
351;1431233;107
352;1431291;58
353;1431697;406
354;1431991;294
355;1432335;344
356;1432443;108
357;1432687;244
358;1432831;144
359;1432888;57
360;1433262;374
361;1433641;379
362;1433986;345
363;1434273;287
364;1434653;380
365;1434750;97
366;1434799;49
367;1434896;97
368;1435285;389
369;1435512;227
370;1436118;606
371;1436598;480
372;1436759;161
373;1436855;96
374;1437343;488
375;1437767;424
376;1438244;477
377;1438813;569
378;1439408;595
379;1439656;248
380;1439751;95
381;1440517;766
382;1441164;647
383;1442071;907
384;1442891;820
385;1443637;746
386;1444043;406
387;1444193;150
388;1445034;841
389;1445824;790
390;1446564;740
391;1447270;706
392;1447885;615
393;1448116;231
394;1448228;112
395;1448679;451
396;1449207;528
397;1449639;432
398;1450111;472
399;1450491;380
400;1450634;143
